                                                          |       2000 |       2001 |       2002 |       2003 |       2004 |       2005
                                               ene_use    |    7623.03 |    6944.75 |    6659.09 |    7495.39 |    7369.69 |          0
Bulgaria                                                  |            |            |            |            |            |           
                                               co2_emi    |       5.25 |       5.63 |       5.31 |       5.62 |          0 |          0
                                               ene_use    |     2319.6 |    2472.95 |    2430.55 |    2511.57 |    2434.26 |          0
Burkina Faso                                              |            |            |            |            |            |           
                                               co2_emi    |       0.09 |       0.09 |       0.09 |       0.08 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Burundi                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.04 |       0.04 |       0.04 |       0.03 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Cambodia                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.04 |       0.04 |       0.04 |       0.04 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Cameroon                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.23 |       0.22 |       0.22 |       0.22 |          0 |          0
                                               ene_use    |     428.64 |      426.4 |     425.05 |     434.14 |     433.29 |          0
Canada                                                    |            |            |            |            |            |           
                                               co2_emi    |      16.11 |      15.89 |      17.09 |      17.88 |          0 |          0
                                               ene_use    |    8129.98 |    7914.57 |    7972.51 |    8302.25 |    8410.64 |          0
Cape Verde                                                |            |            |            |            |            |           
                                               co2_emi    |       0.31 |       0.32 |       0.31 |        0.3 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Cayman Islands                                            |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |       7.07 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Central African Republic                                  |            |            |            |            |            |           
                                               co2_emi    |       0.07 |       0.07 |       0.07 |       0.06 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Chad                                                      |            |            |            |            |            |           
                                               co2_emi    |       0.02 |       0.01 |       0.01 |       0.01 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Channel Islands                                           |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Chile                                                     |            |            |            |            |            |           
                                               co2_emi    |       3.86 |       3.53 |       3.62 |       3.67 |          0 |          0
                                               ene_use    |    1684.16 |    1628.07 |    1670.99 |    1652.24 |    1732.34 |          0
China                                                     |            |            |            |            |            |           
                                               co2_emi    |       2.19 |       2.36 |       2.72 |       3.22 |          0 |          0
                                               ene_use    |     889.07 |     880.94 |     947.23 |     1072.1 |    1241.63 |          0
Colombia                                                  |            |            |            |            |            |           
                                               co2_emi    |       1.39 |       1.32 |       1.24 |       1.27 |          0 |          0
                                               ene_use    |     679.08 |      667.3 |     632.69 |     644.91 |     624.63 |          0
Comoros                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.16 |       0.15 |       0.14 |       0.15 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Congo, Dem. Rep.                                          |            |            |            |            |            |           
                                               co2_emi    |       0.03 |       0.03 |       0.03 |       0.03 |          0 |          0
                                               ene_use    |     294.89 |        295 |      295.7 |      296.2 |     296.48 |          0
Congo, Rep.                                               |            |            |            |            |            |           
                                               co2_emi    |        0.3 |       0.35 |       0.29 |       0.37 |          0 |          0
                                               ene_use    |     246.96 |     262.19 |     248.54 |     272.73 |     273.76 |          0
Costa Rica                                                |            |            |            |            |            |           
                                               co2_emi    |       1.41 |        1.4 |       1.38 |       1.52 |          0 |          0
                                               ene_use    |     841.99 |     834.99 |      866.5 |     879.95 |     869.97 |          0
Cote d'Ivoire                                             |            |            |            |            |            |           
                                               co2_emi    |       0.35 |       0.33 |       0.41 |       0.32 |          0 |          0
                                               ene_use    |     409.68 |     386.37 |     406.43 |     378.78 |     387.59 |          0
Croatia                                                   |            |            |            |            |            |           
                                               co2_emi    |       4.44 |       4.73 |       4.98 |       5.36 |          0 |          0
                                               ene_use    |     1726.6 |    1785.94 |    1850.49 |    1976.36 |    1985.21 |          0
Cuba                                                      |            |            |            |            |            |           
                                               co2_emi    |       2.28 |       2.18 |        2.4 |       2.25 |          0 |          0
                                               ene_use    |    1031.94 |    1011.98 |     963.32 |     935.13 |     950.29 |          0
Cyprus                                                    |            |            |            |            |            |           
                                               co2_emi    |       9.25 |       9.17 |       9.19 |      10.07 |          0 |          0
                                               ene_use    |    3494.24 |    3496.79 |    3473.18 |    3703.91 |    3534.74 |          0
Czech Republic                                            |            |            |            |            |            |           
                                               co2_emi    |      11.56 |      11.61 |       11.2 |       11.4 |          0 |          0
                                               ene_use    |    3932.04 |    4050.47 |    4113.71 |    4334.54 |     4460.4 |          0
Denmark                                                   |            |            |            |            |            |           
                                               co2_emi    |       8.66 |       8.95 |       8.85 |      10.11 |          0 |          0
                                               ene_use    |    3621.84 |    3714.23 |    3642.74 |    3839.86 |    3716.41 |          0
Djibouti                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.54 |       0.53 |       0.48 |       0.48 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Dominica                                                  |            |            |            |            |            |           
                                               co2_emi    |       1.44 |       1.55 |        1.7 |       1.95 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Dominican Republic                                        |            |            |            |            |            |           
                                               co2_emi    |        2.3 |       2.27 |       2.38 |       2.32 |          0 |          0
                                               ene_use    |     892.39 |     878.55 |     903.95 |     868.32 |     821.05 |          0
East Asia & Pacific                                       |            |            |            |            |            |           
                                               co2_emi    |          2 |       2.13 |       2.41 |       2.75 |          0 |          0
                                               ene_use    |     846.76 |     847.74 |     899.66 |      993.3 |    1123.93 |          0
Ecuador                                                   |            |            |            |            |            |           
                                               co2_emi    |       1.73 |       1.92 |       1.94 |       1.81 |          0 |          0
                                               ene_use    |     679.04 |     702.17 |     739.26 |     781.53 |     773.16 |          0
Egypt, Arab Rep.                                          |            |            |            |            |            |           
                                               co2_emi    |       2.06 |       1.93 |       2.02 |       1.96 |          0 |          0
                                               ene_use    |     681.41 |     688.89 |     752.63 |     761.33 |     783.03 |          0
El Salvador                                               |            |            |            |            |            |           
                                               co2_emi    |       0.91 |       0.93 |       0.92 |       0.98 |          0 |          0
                                               ene_use    |     648.99 |     666.78 |     659.01 |     683.25 |     663.52 |          0
Equatorial Guinea                                         |            |            |            |            |            |           
                                               co2_emi    |       0.38 |       0.35 |       0.36 |       0.34 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Eritrea                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.17 |       0.17 |       0.17 |       0.17 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Estonia                                                   |            |            |            |            |            |           
                                               co2_emi    |      11.68 |      12.02 |      11.73 |      13.47 |          0 |          0
                                               ene_use    |    3307.02 |    3446.97 |    3329.06 |    3638.66 |    3835.44 |          0
Ethiopia                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.09 |        0.1 |        0.1 |       0.11 |          0 |          0
                                               ene_use    |     291.13 |     295.69 |     296.56 |     298.91 |     302.73 |          0
Europe & Central Asia                                     |            |            |            |            |            |           
                                               co2_emi    |       6.52 |       6.51 |       6.57 |       6.82 |          0 |          0
                                               ene_use    |    2631.46 |    2662.04 |    2676.52 |     2783.5 |    2808.98 |          0
European Monetary Union                                   |            |            |            |            |            |           
                                               co2_emi    |       7.96 |        8.1 |        8.1 |       8.18 |          0 |          0
                                               ene_use    |    3844.64 |     3924.9 |    3895.75 |    3960.79 |    3989.64 |          0
Faeroe Islands                                            |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |      13.74 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Fiji                                                      |            |            |            |            |            |           
                                               co2_emi    |       1.06 |       1.36 |       1.35 |       1.34 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Finland                                                   |            |            |            |            |            |           
                                               co2_emi    |       9.99 |      10.88 |      11.74 |      13.01 |          0 |          0
                                               ene_use    |    6373.98 |    6517.93 |     6834.6 |    7227.71 |    7285.76 |          0
France                                                    |            |            |            |            |            |           
                                               co2_emi    |       6.01 |       6.28 |       6.16 |       6.22 |          0 |          0
                                               ene_use    |    4373.29 |    4499.92 |    4464.89 |    4507.37 |    4546.66 |          0
French Polynesia                                          |            |            |            |            |            |           
                                               co2_emi    |       2.73 |       2.27 |       2.86 |       2.78 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Gabon                                                     |            |            |            |            |            |           
                                               co2_emi    |       1.15 |       1.51 |       1.27 |       0.91 |          0 |          0
                                               ene_use    |    1212.17 |     1243.5 |    1249.29 |    1248.03 |    1242.72 |          0
Gambia, The                                               |            |            |            |            |            |           
                                               co2_emi    |       0.21 |       0.21 |        0.2 |        0.2 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Georgia                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.96 |        0.8 |       0.73 |       0.82 |          0 |          0
                                               ene_use    |     613.34 |     555.93 |     558.93 |      600.7 |     625.94 |          0
Germany                                                   |            |            |            |            |            |           
                                               co2_emi    |        9.7 |         10 |       9.69 |       9.75 |          0 |          0
                                               ene_use    |    4179.81 |    4293.19 |    4184.46 |    4205.27 |    4217.79 |          0
Ghana                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.31 |       0.34 |       0.35 |       0.36 |          0 |          0
                                               ene_use    |     397.04 |     402.68 |     401.81 |      400.2 |     385.61 |          0
Greece                                                    |            |            |            |            |            |           
                                               co2_emi    |       8.27 |       8.48 |       8.53 |       8.73 |          0 |          0
                                               ene_use    |    2548.29 |    2621.38 |    2642.35 |     2711.2 |    2754.72 |          0
Greenland                                                 |            |            |            |            |            |           
                                               co2_emi    |       9.91 |       9.95 |       9.97 |         10 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Grenada                                                   |            |            |            |            |            |           
                                               co2_emi    |       2.02 |       2.14 |       2.09 |        2.1 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Guam                                                      |            |            |            |            |            |           
                                               co2_emi    |      26.19 |      25.88 |      25.42 |      24.91 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Guatemala                                                 |            |            |            |            |            |           
                                               co2_emi    |       0.91 |       0.92 |       0.94 |       0.89 |          0 |          0
                                               ene_use    |     639.96 |     639.52 |     630.52 |     607.83 |     615.63 |          0
Guinea                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.16 |       0.15 |       0.16 |       0.15 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Guinea-Bissau                                             |            |            |            |            |            |           
                                               co2_emi    |       0.19 |       0.18 |       0.19 |       0.18 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Guyana                                                    |            |            |            |            |            |           
                                               co2_emi    |       2.15 |       2.21 |       2.15 |       2.18 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Haiti                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.17 |       0.19 |       0.22 |       0.21 |          0 |          0
                                               ene_use    |     256.84 |      259.4 |     287.16 |     269.93 |     262.28 |          0
Heavily indebted poor countries (HIPC)                    |            |            |            |            |            |           
                                               co2_emi    |       0.18 |       0.18 |       0.19 |       0.19 |          0 |          0
                                               ene_use    |     366.01 |     368.79 |     376.81 |     382.73 |     390.98 |          0
High income                                               |            |            |            |            |            |           
                                               co2_emi    |       12.7 |      12.68 |      12.74 |      12.79 |          0 |          0
                                               ene_use    |    5419.76 |    5379.02 |    5396.62 |    5415.34 |    5502.35 |          0
High income: OECD                                         |            |            |            |            |            |           
                                               co2_emi    |      12.71 |      12.68 |      12.73 |      12.76 |          0 |          0
                                               ene_use    |    5461.17 |    5407.69 |    5414.13 |    5423.13 |    5495.31 |          0
High income: nonOECD                                      |            |            |            |            |            |           
                                               co2_emi    |      12.57 |      12.67 |       12.9 |      13.08 |          0 |          0
                                               ene_use    |    4902.32 |    5025.21 |    5182.79 |    5320.97 |    5586.83 |          0
Honduras                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.78 |       0.87 |        0.9 |       0.94 |          0 |          0
                                               ene_use    |     468.84 |     491.65 |     508.47 |     521.84 |     547.51 |          0
Hong Kong, China                                          |            |            |            |            |            |           
                                               co2_emi    |       5.62 |       5.33 |        5.1 |       5.55 |          0 |          0
                                               ene_use    |    2318.38 |       2421 |    2412.85 |    2427.42 |    2487.58 |          0
Hungary                                                   |            |            |            |            |            |           
                                               co2_emi    |        5.3 |       5.52 |       5.51 |       5.75 |          0 |          0
                                               ene_use    |    2449.62 |    2495.29 |       2541 |    2600.41 |    2607.57 |          0
Iceland                                                   |            |            |            |            |            |           
                                               co2_emi    |       7.68 |       7.36 |       7.62 |       7.55 |          0 |          0
                                               ene_use    |   11544.48 |      11800 |   11788.19 |   11694.08 |   11975.51 |          0
India                                                     |            |            |            |            |            |           
                                               co2_emi    |       1.14 |       1.13 |       1.17 |        1.2 |          0 |          0
                                               ene_use    |     503.96 |     503.44 |     508.96 |     515.47 |     530.55 |          0
Indonesia                                                 |            |            |            |            |            |           
                                               co2_emi    |       1.34 |       1.38 |       1.54 |       1.37 |          0 |          0
                                               ene_use    |     707.37 |     744.53 |     758.98 |     766.83 |     799.87 |          0
Iran, Islamic Rep.                                        |            |            |            |            |            |           
                                               co2_emi    |        4.6 |       4.64 |       5.64 |       5.74 |          0 |          0
                                               ene_use    |    1863.63 |    1926.08 |    1988.24 |    2088.61 |    2166.45 |          0
Iraq                                                      |            |            |            |            |            |           
                                               co2_emi    |       2.91 |       3.19 |       3.33 |       2.71 |          0 |          0
                                               ene_use    |    1037.82 |     1144.1 |     1178.6 |     965.17 |    1083.49 |          0
Ireland                                                   |            |            |            |            |            |           
                                               co2_emi    |      10.91 |      11.25 |      10.81 |      10.35 |          0 |          0
                                               ene_use    |    3753.88 |    3931.25 |    3909.41 |    3772.05 |    3737.54 |          0
Isle of Man                                               |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Israel                                                    |            |            |            |            |            |           
                                               co2_emi    |      10.19 |       9.96 |      10.39 |      10.21 |          0 |          0
                                               ene_use    |    3057.08 |    3113.53 |    3044.44 |    3085.04 |    3048.87 |          0
Italy                                                     |            |            |            |            |            |           
                                               co2_emi    |       7.51 |       7.52 |       7.56 |       7.73 |          0 |          0
                                               ene_use    |    3033.03 |    3046.59 |    3035.41 |    3146.53 |    3170.76 |          0
Jamaica                                                   |            |            |            |            |            |           
                                               co2_emi    |       3.98 |       4.08 |       3.93 |       4.07 |          0 |          0
                                               ene_use    |    1513.87 |    1537.17 |    1495.32 |    1543.12 |    1540.88 |          0
Japan                                                     |            |            |            |            |            |           
                                               co2_emi    |        9.5 |       9.35 |       9.44 |       9.64 |          0 |          0
                                               ene_use    |    4169.12 |    4096.27 |    4093.12 |    4040.92 |    4173.36 |          0
Jordan                                                    |            |            |            |            |            |           
                                               co2_emi    |       3.23 |       3.15 |       3.25 |       3.31 |          0 |          0
                                               ene_use    |     1081.6 |    1039.55 |    1062.92 |    1071.46 |    1232.33 |          0
Kazakhstan                                                |            |            |            |            |            |           
                                               co2_emi    |       8.14 |        8.4 |      10.57 |      10.68 |          0 |          0
                                               ene_use    |    2666.49 |    3065.15 |    3154.65 |    3346.77 |    3651.47 |          0
Kenya                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.34 |       0.29 |       0.25 |       0.27 |          0 |          0
                                               ene_use    |     489.97 |     479.82 |     469.01 |     481.25 |     505.57 |          0
Kiribati                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.36 |       0.32 |       0.31 |        0.3 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Korea, Dem. Rep.                                          |            |            |            |            |            |           
                                               co2_emi    |       3.52 |       3.63 |       3.43 |       3.48 |          0 |          0
                                               ene_use    |      903.3 |     928.63 |     882.16 |     894.09 |     910.17 |          0
Korea, Rep.                                               |            |            |            |            |            |           
                                               co2_emi    |       9.09 |       9.18 |       9.35 |       9.53 |          0 |          0
                                               ene_use    |    4060.85 |    4092.01 |    4239.66 |     4311.4 |    4430.85 |          0
Kuwait                                                    |            |            |            |            |            |           
                                               co2_emi    |      32.22 |      29.61 |      28.24 |      32.74 |          0 |          0
                                               ene_use    |    9341.55 |    8516.04 |    8124.48 |    9563.03 |   10211.69 |          0
Kyrgyz Republic                                           |            |            |            |            |            |           
                                               co2_emi    |       0.94 |       0.78 |       0.99 |       1.06 |          0 |          0
                                               ene_use    |     497.43 |     451.08 |     507.89 |      531.5 |     545.87 |          0
Lao PDR                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.19 |       0.22 |       0.23 |       0.23 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Latin America & Caribbean                                 |            |            |            |            |            |           
                                               co2_emi    |       2.51 |       2.47 |       2.37 |       2.37 |          0 |          0
                                               ene_use    |    1153.42 |     1138.6 |    1133.24 |    1132.54 |    1168.82 |          0
Latvia                                                    |            |            |            |            |            |           
                                               co2_emi    |       2.52 |       2.79 |       2.75 |       2.89 |          0 |          0
                                               ene_use    |     1638.7 |    1799.92 |    1797.26 |    1892.62 |    1988.07 |          0
Least developed countries: UN classification              |            |            |            |            |            |           
                                               co2_emi    |       0.16 |       0.17 |       0.18 |       0.18 |          0 |          0
                                               ene_use    |     285.43 |      292.8 |     299.06 |     306.27 |     313.59 |          0
Lebanon                                                   |            |            |            |            |            |           
                                               co2_emi    |       4.07 |       4.32 |       4.23 |       4.84 |          0 |          0
                                               ene_use    |    1340.83 |    1422.25 |    1388.14 |     1520.6 |     1361.2 |          0
Lesotho                                                   |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Liberia                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.14 |       0.15 |       0.15 |       0.14 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Libya                                                     |            |            |            |            |            |           
                                               co2_emi    |       8.79 |       8.87 |       8.89 |       8.91 |          0 |          0
                                               ene_use    |    3207.54 |    3190.89 |    3205.03 |    3203.43 |    3169.43 |          0
Liechtenstein                                             |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Lithuania                                                 |            |            |            |            |            |           
                                               co2_emi    |       3.41 |       3.57 |       3.62 |       3.67 |          0 |          0
                                               ene_use    |    2086.57 |    2292.82 |    2515.35 |    2629.81 |    2665.92 |          0
Low & middle income                                       |            |            |            |            |            |           
                                               co2_emi    |       2.08 |       2.11 |       2.22 |       2.36 |          0 |          0
                                               ene_use    |     932.66 |     933.89 |     953.85 |     998.77 |    1056.59 |          0
Low income                                                |            |            |            |            |            |           
                                               co2_emi    |        0.8 |        0.8 |       0.82 |       0.83 |          0 |          0
                                               ene_use    |      483.7 |     485.54 |     490.78 |     496.92 |     510.41 |          0
Lower middle income                                       |            |            |            |            |            |           
                                               co2_emi    |       2.24 |       2.35 |       2.61 |       2.88 |          0 |          0
                                               ene_use    |     916.83 |     918.82 |     965.82 |    1048.47 |    1159.34 |          0
Luxembourg                                                |            |            |            |            |            |           
                                               co2_emi    |      18.78 |      19.53 |      21.25 |      22.06 |          0 |          0
                                               ene_use    |    8408.68 |    8723.55 |    9111.61 |    9472.23 |   10480.99 |          0
Macao, China                                              |            |            |            |            |            |           
                                               co2_emi    |       3.68 |       3.78 |       4.07 |        4.1 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Macedonia, FYR                                            |            |            |            |            |            |           
                                               co2_emi    |       5.67 |       5.64 |       5.13 |       5.19 |          0 |          0
                                               ene_use    |    1348.58 |    1293.58 |    1283.57 |    1313.64 |    1327.76 |          0
Madagascar                                                |            |            |            |            |            |           
                                               co2_emi    |       0.14 |       0.14 |       0.13 |       0.13 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Malawi                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.07 |       0.07 |       0.07 |       0.07 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Malaysia                                                  |            |            |            |            |            |           
                                               co2_emi    |       5.49 |       5.78 |       5.89 |        6.4 |          0 |          0
                                               ene_use    |    2122.78 |    2191.98 |     2188.4 |    2318.43 |    2279.02 |          0
Maldives                                                  |            |            |            |            |            |           
                                               co2_emi    |       1.72 |        3.1 |       3.37 |       1.41 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Mali                                                      |            |            |            |            |            |           
                                               co2_emi    |       0.05 |       0.05 |       0.04 |       0.04 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Malta                                                     |            |            |            |            |            |           
                                               co2_emi    |       5.39 |       5.24 |       5.32 |       6.18 |          0 |          0
                                               ene_use    |    2012.82 |    1877.86 |    1977.52 |    2237.83 |    2262.65 |          0
Marshall Islands                                          |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Mauritania                                                |            |            |            |            |            |           
                                               co2_emi    |       0.94 |       0.93 |       0.88 |       0.86 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Mauritius                                                 |            |            |            |            |            |           
                                               co2_emi    |       2.33 |       2.47 |       2.46 |       2.57 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Mayotte                                                   |            |            |            |            |            |           
